Name,Type,Priority
Airtel Services,storeÿpointofinterestÿestablishment,5
Radisson Blu New Delhi Dwarka,lodgingÿpointofinterestÿestablishment,3
Hotel La Wisteria,lodgingÿpointofinterestÿestablishment,3
WelcomHotel Dwarka,lodgingÿpointofinterestÿestablishment,3
Golden Palm Suites,lodgingÿpointofinterestÿestablishment,5
Airtel Store,pointofinterestÿestablishment,3
Mehra Residency,lodgingÿpointofinterestÿestablishment,5
Narayana IIT Academy,pointofinterest establishment,3
OYO 1185 Hotel MSK residency,lodgingÿpointofinterestÿestablishment,4
Twacha Skin Clinic,beautysalonÿhaircareÿdoctorÿhealthÿpointofinterestÿestablishment,4
Nice Car Rent,carrental pointofinterest establishment,5
right services,pointofinterestÿestablishment,5
Letsshop.in,pointofinterestÿestablishment,5
Vulpix Design Solutions,pointofinterestÿestablishment,5
Aikotaan Durga Puja Park,parkÿpointofinterestÿestablishment,5
Lemon Holidays Tour Operator Delhi India,travelagencyÿpointofinterestÿestablishment,4
Ayushman Hospital,hospitalÿpointofinterestÿestablishment,2
Domino's Pizza,mealdeliveryÿmealtakeawayÿrestaurantÿfoodÿpointofinterestÿestablishment,4
right services,pointofinterestÿestablishment,5
Shanti Home,lodgingÿpointofinterestÿestablishment,4
Chauhan Batteries,carrepairÿstoreÿpointofinterestÿestablishment,5
Pahuja Automobile,carrepairÿpointofinterestÿestablishment,5
Seasons India,homegoodsstoreÿstoreÿpointofinterestÿestablishment,4
Revotrad,pointofinterestÿestablishment,5
Central Park,parkÿpointofinterestÿestablishment,5
Zed-Axis Technologies Pvt. Ltd.,pointofinterest establishment,5
Delta Electronics,pointofinterest establishment,5
Panasonic Brandshop,electronicsstoreÿstoreÿpointofinterestÿestablishment,4
The Dog House,petstoreÿstoreÿpointofinterestÿestablishment,3
Jetking vikaspuri Learning Centre,pointofinterestÿestablishment,5
Barbeque Nation - New Delhi - Janakpuri,restaurantÿfoodÿpointofinterestÿestablishment,3
Definite Solutions,pointofinterestÿestablishment,5
Stay inn Chanakyapuri,lodgingÿpointofinterestÿestablishment,4
Delhi Airport Hotels - Trident Hilton,realestateagencyÿtravelagencyÿlodgingÿpointofinterestÿestablishment,4
VSWA,pointofinterestÿestablishment,5
MADINA MASJID,mosqueÿplaceofworshipÿpointofinterestÿestablishment,4
Clairvolex Knowledge Processes Private Limited,lawyerÿpointofinterestÿestablishment,3
Satguru,pharmacyÿstoreÿhealthÿpointofinterestÿestablishment,3
Syndicate Bank,bankÿfinanceÿpointofinterestÿestablishment,2
The Hibiscus,lodgingÿpointofinterestÿestablishment,4
LIC of India,insuranceagencyÿpointofinterestÿestablishment,2
Passionate About Baking,pointofinterestÿestablishment,5
Discovery Wines (Wine and Beer Shop),liquorstoreÿstoreÿpointofinterestÿestablishment,5
Fairfield Institute of Management & Technology,universityÿpointofinterestÿestablishment,3
Sapna Communication,storeÿpointofinterestÿestablishment,5
shanti Niwas,lodgingÿpointofinterestÿestablishment,4
LIC Office,insuranceagencyÿpointofinterestÿestablishment,3
